,Occupation,Age,Location,Income,lat,long
marketing-specialist-washington-dc-salary-money-diary,Marketing Specialist,23,"Washington, D.C.",58000,36.29885175,-82.35919331410948
communications-manager-new-york-salary-money-diary,Communications Manager,26,"New York, NY",73000,40.7127281,-74.0060152
partner-private-equity-suburban-chicago-salary-money-diary,Partner,45,Suburban Chicago,325000,41.8879809,-87.6305871
program-manager-central-vermont-salary-money-diary,Program Manager,25,Central Vermont,52000,44.5990718,-72.5002608
digital-marketing-scottsdale-az-money-diary,Digital Marketing Specialist,24,"Scottsdale, AZ",57000,33.4942189,-111.9260184
lawyer-new-york-city-salary-money-diary,Finance Lawyer,30,"New York, NY",280000,40.7127281,-74.0060152
policy-officer-geneva-switzerland-salary-money-diary,Policy Officer,24,"Geneva, Switzerland",47892,46.2017559,6.1466014
reporter-boston-ma-salary-money-diary,Journalist,23,"Boston, MA",25000,42.3602534,-71.0582912
client-solutions-minneapolis-mn-salary-money-diary,Client Solution Specialist,30,"Minneapolis, MN",80000,44.9772995,-93.2654692
account-manager-mexico-city-salary-money-diary,Account Manager,34,Mexico City,46000,19.4326296,-99.1331785
growth-manager-san-francisco-ca-salary-money-diary,Growth Manager,26,"San Francisco, California",95000,37.7790262,-122.4199061
operations-lead-brooklyn-ny-salary-money-diary,Operations Lead,25,"Brooklyn, NY",80000,40.6501038,-73.9495823
it-account-executive-dallas-tx-salary-money-diary,Senior Account Executive,27,"Dallas, TX",120000,32.7762719,-96.7968559
office-assistant-new-mexico-salary-money-diary,Office Assistant,25,Northern New Mexico,19500,35.1252011,-106.6957017
boston-ma-product-manager-salary-money-diary,Product Manager,25,"Boston, MA",145000,42.3602534,-71.0582912
production-television-los-angeles-salary-money-diary,Production,26,"Los Angeles, CA",41000,34.0536909,-118.242766
new-york-ny-consultant-salary-money-diary,Consultant,23,"New York, NY",82000,40.7127281,-74.0060152
reporter-west-michigan-salary-money-diary,Reporter,26,West Michigan,34000,39.609891,-100.005684
risk-analyst-toronto-salary-money-diary,Risk Analyst,30,"Toronto, ON",39208,43.6534817,-79.3839347
music-teacher-rochester-ny-salary-money-diary,Music Teacher and Farm Manager,24,"Rochester, NY",0,43.157285,-77.615214
risk-management-canberra-australia-salary-money-diary,Risk Management Consultant,29,"Canberra, Australia",115000,-35.2975906,149.1012676
social-media-specialist-cleveland-oh-money-diary,Social Media Marketing Specialist,24,"Cleveland, OH",44000,41.5051613,-81.6934446
western-massachusetts-product-development-merchandiser-salary-money-diary,Product Development Merchandiser,28,Western Massachusetts,40000,42.1125825,-72.51478135359363
new-york-ny-associate-director-marketing-salary-money-diary,"Associate Director, Marketing",36,"New York, NY",78922,40.7127281,-74.0060152
orlando-fl-construction-manager-salary-money-diary,Construction Manager,23,"Orlando, FL",63000,28.5421109,-81.3790304
san-francisco-associate-communications-manager-salary-money-diary,Associate Communications Manager,24,San Francisco,100000,37.7790262,-122.4199061
boston-ma-data-engineer-salary-money-diary,Data Engineer,23,"Boston, MA",90000,42.3602534,-71.0582912
bahrain-ceo-producer-salary-money-diary,CEO/producer,30,Bahrain,15000,26.1551249,50.5344606
atlanta-ga-attorney-salary-money-diary,Attorney,30,"Atlanta, GA",120000,33.7489924,-84.3902644
new-york-ny-assistant-media-buyer-money-diary,Assistant Media Buyer Negotiator,23,"New York, NY",40000,40.7127281,-74.0060152
bucharest-romania-senior-technical-writer-salary-money-diary,Senior Technical Writer,34,"Bucharest, Romania",20840,44.4361414,26.1027202
houston-tx-accountant-salary-money-diary,Accountant,25,"Houston, TX",70000,29.7589382,-95.3676974
boston-ma-teacher-salary-money-diary,Teacher,24,Boston,56000,42.3602534,-71.0582912
brooklyn-ny-server-host-front-desk-salary-money-diary,Server/Host/Front Desk Lead,25,"Brooklyn, NY",60000,40.6501038,-73.9495823
the-netherlands-communications-manager-salary-money-diary,Communications Manager,32,The Netherlands,79000,52.5001698,5.7480821
financial-analyst-ottawa-salary-money-diary,,25,"Ottawa, ON",50434,45.421106,-75.690308
chicago-creative-director-salary-money-diary,Creative Director,31,Chicago,87000,41.8755616,-87.6244212
houston-tx-legally-blind-salary-money-diary,Clinical Researcher and Part-Time Graduate Student,24,"Houston, TX",30000,29.7589382,-95.3676974
charlottesville-va-social-worker-money-diary,Social Worker,27,"Charlottesville, VA",54704,38.0360726,-78.49973472559668
midwest-physician-salary-money-diary,Physician,35,Midwest,305000,43.411391,-106.280075
los-angeles-ca-account-manager-salary-money-diary,Account Manager,25,"Los Angeles, CA",42000,34.0536909,-118.242766
fort-lauderdale-florida-attorney-salary-money-diary,Attorney,31,"Fort Lauderdale, FL",170000,26.1223084,-80.1433786
toulouse-france-customer-service-representative-salary-money-diary,Customer Service Representative,26,"Toulouse, France",50000,43.6044622,1.4442469
ann-arbor-mi-registered-nurse-salary-money-diary,Registered Nurse,27,"Ann Arbor, MI",85000,42.2681569,-83.7312291
brooklyn-ny-managing-editor-salary-money-diary,Managing Editor,46,"Brooklyn, NY",62000,40.6501038,-73.9495823
georgia-developer-salary-money-diary,Developer,31,Georgia,72000,32.3293809,-83.1137366
marketing-director-toronto-salary-money-diary,Marketing Director,30,"Toronto, ON",78810,43.6534817,-79.3839347
boise-idaho-specialist-salary-money-diary,Specialist,30,"Boise, Idaho",64000,43.6166163,-116.200886
berlin-germany-associate-salary-money-diary,Associate,28,"Berlin, Germany",55000,52.5170365,13.3888599
charleston-sc-data-scientist-salary-money-diary,Data Scientist,25,"Charleston, SC",70000,32.7876012,-79.9402728
money-diary-new-york-ny-director-business-development-salary,"Director, Business Development",30,"New York, NY",100000,40.7127281,-74.0060152
austin-tx-entrepreneur-tarot-reader-money-diary,Entrepreneur (Tarot Reader),31,"Austin, TX",40000,30.2711286,-97.7436995
independent-pr-consultant-toronto-salary-money-diary,Independent PR Consultant,24,"Toronto, ON",45310,43.6534817,-79.3839347
albuquerque-nm-clinical-research-coordinator-salary-money-diary,Clinical Research Coordinator,25,"Albuquerque, NM",39570,35.0841034,-106.6509851
washington-dc-media-relations-manager-salary-money-diary,Media-Relations Manager,26,"Washington, D.C.",65000,36.29885175,-82.35919331410948
burlington-vermont-respiratory-therapist-salary-money-diary,Respiratory Therapist,25,"Burlington, VT",63284,44.4761601,-73.212906
money-diary-new-york-ny-account-coordinator-salary,Account Coordinator,24,"New York, NY",50000,40.7127281,-74.0060152
minneapolis-mn-data-sciences-analyst-salary-money-diary,Data Sciences Analyst,23,"Minneapolis, MN",55640,44.9772995,-93.2654692
data-associate-toronto-salary-money-diary,Data Associate,24,"Toronto, ON",30282,43.6534817,-79.3839347
san-jose-california-social-worker-salary-money-diary,Social Worker,30,"San Jose, CA",52827,37.3361905,-121.890583
seattle-wa-registered-nurse-salary-money-diary,Registered Nurse — Pediatric Intensive Care (I also have a floral-design side hustle.),28,"Seattle, WA",78000,47.6038321,-122.3300624
san-francisco-ca-freelance-project-manager-salary-money-diary,Freelance Project Manager,26,"San Francisco, CA",0,37.7790262,-122.4199061
washington-dc-attorney-salary-money-diary,Attorney,27,"Washington, D.C.",225000,36.29885175,-82.35919331410948
money-diary-new-york-city-senior-data-analyst-salary,Senior Data Analyst,28,"New York, NY",125000,40.7127281,-74.0060152
missouri-marketing-coordinator-salary-money-diary,Marketing Coordinator/Server,26,Missouri,29900,38.7604815,-92.5617875
omaha-nebraska-healthcare-analyst-salary-money-diary,Healthcare Analyst,28,"Omaha, NE",84000,41.2587459,-95.9383758
los-angeles-freelance-video-editor-salary-money-diary,Freelance Video Editor,24,Los Angeles,70000,34.0536909,-118.242766
eastern-kentucky-outreach-and-engagement-coordinator-salary-money-diary,Outreach and Engagement Coordinator,21,Eastern Kentucky,11000,37.5170432,-82.805994
boston-ma-email-marketing-manager-salary-money-diary,Email Marketing Manager,30,"Boston, MA",65000,42.3602534,-71.0582912
seattle-recruiter-salary-money-diary,Recruiter,28,"Seattle, WA",70000,47.6038321,-122.3300624
money-diary-new-york-city-marketing-intern-salary,Marketing Intern,21,"New York, NY",0,40.7127281,-74.0060152
anchorage-ak-insurance-agent-salary-money-diary,Insurance Agent,20,"Anchorage, AK",38000,61.2163129,-149.894852
beverly-hills-ca-production-assistant-salary-money-diary,Production PA,21,"Beverly Hills, CA",43200,34.0696501,-118.3963062
northern-michigan-product-development-manager-salary-money-diary,Product Development Manager,39,Northern Michigan,115000,43.7500661,-85.1447326
chicago-il-finance-manager-salary-money-diary,Finance Manager,32,"Chicago, IL",137312,41.8755616,-87.6244212
san-diego-director-of-content-community-management-salary-money-diary,Director of Content and Community Management,29,"San Diego, CA",85000,32.7174202,-117.1627728
new-jersey-assistant-director-salary-money-diary,Assistant Director,30,New Jersey,63000,40.0757384,-74.4041622
money-diary-brooklyn-ny-analyst-student-salary,Operations Analyst & Cosmetology Student,32,"Brooklyn, NY",51500,40.6501038,-73.9495823
houston-tx-process-engineer-salary-money-diary,Process Engineer,23,"Houston, TX",85000,29.7589382,-95.3676974
burbank-ca-executive-assistant-salary-money-diary,Executive Assistant,23,"Burbank, CA",36000,34.1816482,-118.3258554
production-editor-detroit-mi-salary-money-diary,Production Editor,27,"Detroit, MI",67000,42.3315509,-83.0466403
savannah-georgia-director-salary-money-diary,Director,28,"Savannah, Georgia",60000,32.0809263,-81.0911768
portland-or-account-manager-salary-money-diary,Account Manager,29,"Portland, OR",66435,45.5202471,-122.6741949
rockville-md-business-development-associate-salary-money-diary,Business Development Associate,22,"Rockville, MD",50000,39.0840054,-77.1527573
money-diary-new-york-city-junior-associate-salary,Junior Associate,22,"New York, NY",40000,40.7127281,-74.0060152
dallas-tx-senior-marketing-coordinator-salary-money-diary,Senior Marketing Coordinator,29,"Dallas, TX",73000,32.7762719,-96.7968559
san-diego-ca-assistant-supervising-cashier-salary-money-diary,Assistant Supervising Cashier,24,"San Diego, CA",44148,32.7174202,-117.1627728
boston-ma-licensed-clinical-social-worker-salary-money-diary,Licensed Clinical Social Worker,26,"Boston, MA",53000,42.3602534,-71.0582912
st-paul-minnesota-investigator-salary-money-diary,Investigator,33,"St. Paul, Minnesota",60000,44.9504037,-93.1015026
money-diary-new-york-city-public-relations-manager-salary,Public Relations Manager,34,"New York, NY",120000,40.7127281,-74.0060152
los-angeles-ca-area-senior-sales-manager-money-diary,Area Senior Sales Manager,31,"Los Angeles, CA",92400,34.0536909,-118.242766
money-diary-austin-tx-small-business-owner,Small Business Co-Owner (and Part-Time Manager of Client Success for another 11 days),34,"Austin, TX",50000,30.2711286,-97.7436995
san-antonio-texas-claims-examiner-salary-money-diary,Claims Examiner,25,"San Antonio, TX",0,29.4246002,-98.4951405
chicago-bridal-designer-salary-money-diary,Bridal Designer,25,Chicago,0,41.8755616,-87.6244212
pennsylvania-marketing-content-strategist-salary-money-diary,Marketing Content Strategist,32,Pennsylvania,70000,40.9699889,-77.7278831
money-diary-brooklyn-ny-economic-development-manager-salary,Economic Development Manager,27,"Brooklyn, NY",80000,40.6501038,-73.9495823
san-diego-ca-teacher-salary-money-diary,Teacher,24,"San Diego, CA",49921,32.7174202,-117.1627728
money-diary-philadelphia-pa-administrative-assistant-salary,Administrative Assistant,29,"Philadelphia, PA",42290,39.9527237,-75.1635262
money-diary-dallas-texas-associate-contracts-salary,Associate Contracts Specialist,24,"Dallas, TX",51625,32.7762719,-96.7968559
money-diary-new-york-ny-associate-director-budget-1560277966040,Associate Director,26,"New York, NY",77000,40.7127281,-74.0060152
money-diary-washington-dc-project-manager-budget-1560270230080,Project Manager,29,"Washington, D.C.",45000,36.29885175,-82.35919331410948
money-diary-nashville-tn-video-production-manager,Manager,30,"Nashville, TN",49000,36.1622296,-86.7743531
money-diary-chicago-il-creative-lead-advertising-salary,Creative Lead,28,"Chicago, IL",115000,41.8755616,-87.6244212
money-diary-atlanta-ga-yoga-instructor,Yoga Instructor,29,"Atlanta, GA",26000,33.7489924,-84.3902644
money-diary-portland-or-nanny-joint-income,Nanny,38,"Portland, OR",23000,45.5202471,-122.6741949
money-diary-new-york-ny-finance-associate-salary,Associate,25,"New York, NY",250000,40.7127281,-74.0060152
money-diary-seattle-wa-customer-service-representative-income,Customer Service Representative,23,"Seattle, WA",0,47.6038321,-122.3300624
money-diary-washington-dc-digital-publishing-representative-salary,Digital Publishing Representative,23,"Washington, D.C.",32000,36.29885175,-82.35919331410948
operations-supervisor-boston-ma-salary-money-diary,Operations Supervisor,24,"Boston, MA",52000,42.3602534,-71.0582912
employment-coordinator-new-jersey-salary-money-diary,Program Coordinator,24,New Jersey,40000,40.0757384,-74.4041622
law-student-chicago-il-salary-money-diary,Law Student,25,"Chicago, IL",26808,41.8755616,-87.6244212
money-diary-seattle-wa-writer-editor-salary,Writer/Editor,27,"Seattle, WA",68000,47.6038321,-122.3300624
san-francisco-ca-sales-tech-salary-money-diary,Sales Development,23,"San Francisco, CA",52500,37.7790262,-122.4199061
money-diary-toronto-freelance-writer-income,Freelance Writer,28,"Toronto, Canada",30000,43.6534817,-79.3839347
money-diary-philadelpha-marketing-specialist-salary,Marketing Specialist,30,"Philadelphia, PA",200000,39.9527237,-75.1635262
chicago-illinois-consultant-salary-money-diary,Consultant,33,Chicago,156000,41.8755616,-87.6244212
atlantic-ocean-chief-stewardess-salary-money-diary,Chief Stewardess,28,Atlantic Ocean,72000,13.581921,-38.320312
columbus-oh-marketing-specialist-salary-money-diary,Marketing Specialist,25,"Columbus, OH",52500,39.9622601,-83.0007065
washington-dc-analyst-salary-money-diary,Analyst,24,Washington DC,70000,38.8949924,-77.0365581
new-york-ny-consulting-senior-analyst-salary-money-diary,Consulting Senior Analyst,23,"New York, NY",93800,40.7127281,-74.0060152
boston-senior-paralegal-salary-money-diary,Senior Paralegal,38,Boston,75000,42.3602534,-71.0582912
las-vegas-nv-marketing-specialist-salary-money-diary,Marketing Specialist,27,"Las Vegas, NV",60000,36.1672559,-115.1485163
san-francisco-senior-accountant-salary-money-diary,Senior Accountant,30,"San Francisco, CA",118000,37.7790262,-122.4199061
denver-kindergarten-teacher-salary-money-diary,Kindergarten Teacher,29,Denver,49000,39.7392364,-104.9848623
washington-dc-content-coordinator-salary-money-diary,Content Coordinator,24,"Washington, D.C.",60000,36.29885175,-82.35919331410948
new-york-ny-student-salary-money-diary,"Student (and Resident Advisor, Intern, and Research Assistant)",20,"New York, NY",15000,40.7127281,-74.0060152
austin-tx-program-specialist-salary-money-diary,Program Specialist,23,"Austin, TX",32500,30.2711286,-97.7436995
chicago-marketing-assistant-salary-money-diary,Marketing Assistant,28,"Chicago, IL",51260,41.8755616,-87.6244212
orange-county-ca-receptionist-salary-money-diary,Receptionist,24,"Orange County, CA",36420,33.7500378,-117.8704931
brussels-erotic-artist-salary-money-diary,Erotic Artist,28,"Brussels, Belgium",34376,50.8465573,4.351697
north-carolina-research-scientist-salary-money-diary,Research Scientist,34,North Carolina,73800,35.6729639,-79.0392919
product-manager-new-york-ny-salary-money-diary,Product Manager,24,"New York, NY",115900,40.7127281,-74.0060152
content-writer-melbourne-australia-salary-money-diary,Content Writer,27,"Melbourne, Australia",65778,-37.8142176,144.9631608
kuala-lumpur-director-of-operations-salary-money-diary,Director of Operations,30,"Kuala Lumpur, Malaysia",73891,3.1516964,101.6942371
marketing-manager-boston-salary-money-diary,Associate Marketing Manager,24,"Boston, MA",55000,42.3602534,-71.0582912
administrative-assistant-florida-salary-money-diary,Administrative Assistant,28,"Largo, FL",31699,27.9094665,-82.7873244
project-engineer-lafayette-indiana-salary-money-diary,Project Engineer,24,"Lafayette, Indiana",57200,40.4167022,-86.8752869
phd-candidate-vienna-austria-salary-earth-day-money-diary,University Assistant / Phd Candidate,28,"Vienna, Austria",35936,48.2083537,16.3725042
research-analyst-brooklyn-salary-money-diary,Research Analyst,27,"Brooklyn, NY",73185,40.6501038,-73.9495823
college-adviser-saint-louis-salary-money-diary,College Adviser,24,"Saint Louis, MO",25000,38.6529545,-90.24111656024635
designer-denver-salary-money-diary,Designer,32,"Denver, CO",140000,5.3428475,-72.3959849
product-development-fashion-marina-del-rey-salary-money-diary,Head of Product Development and Production,32,"Marina Del Rey, CA",75000,33.9776848,-118.4486479
waste-coordinator-vermont-salary-money-diary,School Zero Waste Coordinator,26,Vermont,38000,44.5990718,-72.5002608
english-teacher-moscow-russia-salary-money-diary,English Teacher,26,"Moscow, Russia",11781,55.7504461,37.6174943
software-engineer-san-francisco-ca-salary-money-diary,Software Engineer,25,"San Francisco, CA",330000,37.7790262,-122.4199061
attorney-new-orleans-la-salary-money-diary,Attorney,39,"New Orleans, LA",135000,29.9499323,-90.0701156
billing-manager-boulder-co-salary-money-diary,Billing Manager,26,"Boulder, CO",44000,5.76420625,-73.37509176653637
assistant-farm-manager-maine-salary-money-diary,Assistant Farm Manager,28,Maine,30000,45.709097,-68.8590201
sales-executive-irvine-ca-salary-money-diary,Sales Executive,27,"Irvine, CA",96000,33.6856969,-117.8259819
new-york-city-attorney-salary-money-diary,Attorney,26,"New York, NY",200000,40.7127281,-74.0060152
north-carolina-senior-associate-salary-money-diary,Senior Associate,32,North Carolina,53300,35.6729639,-79.0392919
seattle-wa-consultant-salary-money-diary,Consultant,27,"Seattle, WA",120000,47.6038321,-122.3300624
copy-assistant-london-salary-money-diary,Copy Assistant,24,"London, England",31473,51.5073219,-0.1276474
grants-administrator-anchorage-ak-money-diary,Grants Administrator,31,"Anchorage, AK",40000,61.2163129,-149.894852
redwood-city-ca-teacher-salary-money-diary,Teacher,27,"Redwood City, CA",60913,37.4863239,-122.232523
pittsburgh-pa-freelance-writer-yoga-teacher-money-diary,"Freelance Writer, Yoga Teacher",25,"Pittsburgh, PA",54000,40.4416941,-79.9900861
school-psychologist-chicago-salary-money-diary,School Psychologist,25,"Chicago, IL",66500,41.8755616,-87.6244212
customer-service-representative-saint-paul-mn-money-diary,Customer Service Representative,24,"Saint Paul, MN",0,44.9504037,-93.1015026
operations-coordinator-nyc-salary-money-diary,Operations Coordinator,22,"New York, NY",39500,40.7127281,-74.0060152
director-of-giving-los-angeles-money-diary,Director of Annual Giving,29,"Los Angeles, CA",73500,34.0536909,-118.242766
editor-boston-ma-salary-money-diary,Editor,28,"Boston, MA",48000,42.3602534,-71.0582912
program-specialist-north-carolina-salary-money-diary,Program Specialist,34,North Carolina,55000,35.6729639,-79.0392919
new-york-city-kindergarten-teacher-money-diary,Kindergarten Teacher,28,"New York, NY",65000,40.7127281,-74.0060152
government-affairs-manager-columbus-oh-salary-money-diary,Program Manager,26,"Columbus, OH",75000,39.9622601,-83.0007065
seattle-wa-attorney-salary-money-diary,Attorney,30,"Seattle, WA",80000,47.6038321,-122.3300624
human-resources-specialist-pittsburgh-pa-salary-money-diary,Human Resources Specialist,26,"Pittsburgh, PA",52000,40.4416941,-79.9900861
college-counselor-detroit-mi-salary-money-diary,College Counselor,25,"Detroit, MI",52275,42.3315509,-83.0466403
yangon-myanmar-program-coordinator-salary-money-diary,Program Coordinator,25,"Yangon, Myanmar",52200,16.7967129,96.1609916
administrative-assistant-boston-ma-money-diary,Administrative Assistant,24,"Boston, MA",45645,42.3602534,-71.0582912
consultant-nyc-salary-money-diary,Consultant,24,"New York, NY",100000,40.7127281,-74.0060152
marketing-assistant-portland-or-salary-money-diary,Marketing Assistant,25,"Portland, OR",60000,45.5202471,-122.6741949
researcher-phoenix-az-salary-money-diary,Researcher,25,"Phoenix, AZ",57000,33.4484367,-112.0741417
teacher-buffalo-ny-salary-money-diary,Teacher,23,"Buffalo, NY",31000,42.8867166,-78.8783922
delaware-graduate-student-stipend-money-diary,Graduate Student,30,Delaware,20000,38.6920451,-75.4013315
communications-and-culture-specalist-nyc-money-diary,Communications and Culture Specialist,28,"New York, NY",129000,40.7127281,-74.0060152
freelance-copywriter-australia-money-diary,Freelance Copywriter & Social Media Influencer,25,"Brisbane, Australia",21419,-27.4689682,153.0234991
hedge-fund-associate-london-salary-money-diary,Analyst,24,"London, U.K.",125000,51.5073219,-0.1276474
administrative-assistant-denver-co-money-diary-salary,Administrative Assistant,24,"Denver, CO",29000,5.3428475,-72.3959849
server-restaurant-new-york-city-salary-money-diary,Server at a Five-Star Restaurant,29,"New York, NY",85500,40.7127281,-74.0060152
money-diary-washington-dc-analyst-budget,Analyst,26,"Washington, D.C.",68036,36.29885175,-82.35919331410948
senior-administrator-texas-salary-money-diary,Senior Administrator,23,"Lubbock, TX",45000,33.5635206,-101.879336
preschool-teacher-ventura-ca-salary-money-diary,Preschool Teacher,25,"Ventura, CA",36000,34.4458248,-119.0779359
air-force-officer-south-korea-salary-money-diary,Air Force Officer,33,South Korea,90000,36.638392,127.6961188
associate-finance-salary-nyc-money-diary,Associate,26,"Manhattan, NY",150000,40.7896239,-73.9598939
victim-advocate-phoenix-az-salary-money-diary,Victim Advocate,57,"Phoenix, AZ",44500,33.4484367,-112.0741417
proofreader-philadelphia-pa-salary-money-diary,Proofreader,23,Philadelphia,42000,39.9527237,-75.1635262
strategy-supervisor-minneapolis-mn-salary-money-diary,Strategy Supervisor,28,"Minneapolis, MN",67000,44.9772995,-93.2654692
legal-fellow-washington-dc-salary-money-diary,Legal Fellow,28,"Washington, D.C.",60000,36.29885175,-82.35919331410948
associate-producer-digital-media-atlanta-ga-money-diary,Associate Producer,25,"Atlanta, GA",57000,33.7489924,-84.3902644
allentown-pa-server-full-time-student-income-money-diary,Server/Full-time Student,23,"Allentown, PA",21000,40.6022059,-75.4712794
stripper-orange-county-ca-money-diary,Stripper,22,"Orange County, CA",30000,33.7500378,-117.8704931
financial-aid-specialist-arkansas-salary-money-diary,Financial Aid Specialist,23,Arkansas,36000,35.2048883,-92.4479108
sample-coordinator-nyc-salary-money-diary,Sample Coordinator,27,"New York, NY",70000,40.7127281,-74.0060152
engineer-philadelphia-pa-salary-money-diary,Engineer,24,"Philadelphia, PA",63400,39.9527237,-75.1635262
real-estate-business-owner-nyc-salary-money-diary,Business Owner,38,"New York, NY",2200,40.7127281,-74.0060152
marketing-manager-berlin-salary-money-diary,Marketing Manager,25,"Berlin, Germany",60453,52.5170365,13.3888599
executive-assistant-austin-tx-joint-salary-money-diary,Executive Assistant,29,"Austin, TX",59000,30.2711286,-97.7436995
surgical-technologist-vero-beach-fl-salary-money-diary,Surgical Technologist,24,"Vero Beach, FL",32000,27.6387163,-80.3975399
account-manager-brooklyn-salary-money-diary,Account Manager,24,"Brooklyn, NY",65000,40.6501038,-73.9495823
contractor-washington-dc-salary-money-diary,Contractor,27,"Washington, D.C.",52800,36.29885175,-82.35919331410948
teacher-frederick-md-salary-money-diary,Teacher,28,"Frederick, MD",54000,39.4142186,-77.4109269
supply-chain-management-detroit-mi-salary-money-diary,Supply Chain Management,41,"Suburban Detroit, MI",104000,36.2373681,-95.9924275
money-diary-of-a-furloughed-government-employee,Government,32,"San Diego, CA",125000,32.7174202,-117.1627728
student-affairs-higher-education-nyc-salary-money-diary,Student Affairs,22,"New York, NY",39000,40.7127281,-74.0060152
michigan-accountant-income-money-diary,Accountant,43,Southwest Michigan,23000,43.6211955,-84.6824346
digital-planner-amsterdam-salary-money-diary,Digital Planner,32,"Amsterdam, Netherlands",55542,52.3727598,4.8936041
writer-producer-salary-brooklyn-ny-money-diary,Writer /Producer,35,"Brooklyn, New York",156000,40.6501038,-73.9495823
judicial-assistant-los-angeles-ca-salary-money-diary,Judicial Assistant,29,"Los Angeles, CA",63216,34.0536909,-118.242766
tax-analyst-grand-rapids-mi-salary-money-diary,Tax Analyst,30,"Grand Rapids, MI",74000,42.9632405,-85.6678639
communications-director-paris-france-salary-money-diary,Communications Director,39,"Paris, France",101000,48.8566969,2.3514616
auditor-accounting-atlanta-ga-salary-money-diary,Auditor,24,"Atlanta, GA",55900,33.7489924,-84.3902644
dance-instructor-nyc-salary-money-diary,Dance Instructor,23,"New York, NY",48000,40.7127281,-74.0060152
program-technician-burlington-vt-salary-money-diary,Program Technician,25,"Burlington, VT",40000,44.4761601,-73.212906
managing-editor-freelancer-montana-income-money-diary,Managing Editor,30,Montana,30000,47.3752671,-109.638757
communications-manager-london-salary-money-diary,Communications Manager,26,"London, UK",41863,51.5073219,-0.1276474
graduate-research-assistant-phd-student-baton-rouge-money-diary,Graduate Research Assistant and PhD Student,30,"Baton Rouge, LA",23000,30.4459596,-91.18738
video-editor-los-angeles-salary-money-diary,Video Editor,22,"Los Angeles, CA",50000,34.0536909,-118.242766
freelance-graphic-designer-san-diego-ca-income-money-diary,Freelance Graphic Designer,28,"San Diego, CA",6295,32.7174202,-117.1627728
part-time-writer-cleveland-oh-income-money-diary,Writer,38,"Cleveland, OH",36000,41.5051613,-81.6934446
summer-intern-kauai-hi-money-diary,Summer Intern,20,"Kauai, Hawaii",0,22.050466550000003,-159.55876775017003
sales-coordinator-pittsburgh-pa-salary-money-diary,Sales Coordinator,27,"Pittsburgh, PA",46250,40.4416941,-79.9900861
program-associate-nyc-salary-money-diary,Program Associate,23,"New York, NY",50000,40.7127281,-74.0060152
marketing-specialist-boston-ma-salary-money-diary,Marketing Specialist,24,"Boston, MA",65000,42.3602534,-71.0582912
assistant-professor-portland-or-money-diary,Visiting Assistant Professor,31,"Portland, OR",67880,45.5202471,-122.6741949
business-development-coordinator-brussels-salary-money-diary,Business Development Coordinator,28,"Brussels, Belgium",50072,50.8465573,4.351697
communications-washington-dc-salary-money-diary,Communications,22,"Washington, D.C.",46500,36.29885175,-82.35919331410948
front-end-engineer-nyc-salary-money-diary,Front End Engineer,28,"New York, NY",90000,40.7127281,-74.0060152
baker-minneapolis-mn-income-money-diary,Baker,27,"Minneapolis, MN",20000,44.9772995,-93.2654692
senior-paralegal-salary-denver-co-money-diary,Senior Paralegal,45,"Denver, CO",70000,5.3428475,-72.3959849
assistant-director-nonprofit-salary-north-dakota-money-diary,Assistant Director,25,North Dakota,36000,47.6201461,-100.540737
video-producer-digital-media-salary-pennsylvania-money-diary,Video Producer,24,"Philadelphia-Area, PA",57000,-7.0305698,-37.2803678
reporter-salary-sioux-falls-sd-money-diary,Reporter,22,"Sioux Falls, South Dakota",32000,43.549973,-96.7003324
social-media-coordinator-retail-nyc-money-diary,Social Media Coordinator,23,"New York, NY",69200,40.7127281,-74.0060152
manager-casino-gaming-albuquerque-nm-salary-money-diary,Manager,31,"Albuquerque, NM",59279,35.0841034,-106.6509851
librarian-new-haven-ct-salary-money-diary,Academic Librarian,27,"New Haven, CT",63000,41.298434349999994,-72.93102342707913
project-manager-salary-berkeley-ca-money-diary,Project Manager,31,"Berkeley, CA",80000,37.8708393,-122.2728639
analyst-government-washington-dc-salary-money-diary,Analyst,30,"Washington, D.C.",78617,36.29885175,-82.35919331410948
freelance-writer-idaho-falls-id-income-money-diary,Freelance Writer,38,"Idaho Falls, ID",130000,43.4935589,-112.0401206
registered-nurse-salary-flint-mi-money-diary,Registered Nurse,27,"Flint, MI",62700,43.0161693,-83.6900211
project-manager-kansas-city-mo-salary-money-diary,Project Manager,40,"Kansas City, MO",92000,39.100105,-94.5781416
project-manager-salary-providence-ri-money-diary,Project Manager,24,"Providence, RI",55000,41.8239891,-71.4128343
human-services-admin-columbus-oh-salary-money-diary,Human Services Administrator,26,"Columbus, OH",56000,39.9622601,-83.0007065
freelance-journalist-income-minneapolis-mn-money-diary,Freelance Journalist,31,"Minneapolis, MN",15000,44.9772995,-93.2654692
controller-accounting-madison-wi-salary-money-diary,Accounting Controller,34,"Madison, WI",92000,43.074761,-89.3837613
entertainment-manager-nyc-salary-money-diary,Associate Manager,27,"New York, NY",75000,40.7127281,-74.0060152
commercial-analyst-salary-houston-tx-money-diary,Commercial Analyst,34,"Houston, TX",117400,29.7589382,-95.3676974
nonprofit-program-assistant-salary-washington-dc-money-diary,Program Assistant,22,"Washington, D.C.",40000,36.29885175,-82.35919331410948
